
,,100,60.5,0.0,0.0,0.0,0.0
,,100,60.5,0.0,0.0,0.0,0.0
,,100,60.5,0.0,0.0,0.0,0.0
,,100,60.5,0.0,0.0,0.0,0.0
,,100,60.5,0.0,0.0,0.0,0.0
,,100,60.5,0.0,0.0,0.0,0.0
,,100,60.5,0.0,0.0,0.0,0.0
,,100,350.4,0.0,0.0,0.0,0.0
,,100,220.6,0.0,0.0,0.0,0.0
,,150,60.5,0.0,0.0,0.0,0.0
,,100,60.5,0.0,0.0,0.0,0.0
,,100,60.5,0.0,0.0,0.0,0.0
,,100,60.5,6050.0,1210.0,302.5,4537.5
,,100,60.5,6050.0,1210.0,302.5,4537.5
,,100,60.5,0.0,0.0,0.0,0.0
gh,56,100,60.5,6050.0,1210.0,302.5,4537.5
gh,3,100,60.5,6050.0,1210.0,302.5,4537.5
21,hola,100,60.5,6050.0,1210.0,302.5,4537.5
01,juanito juan,100,60.5,6050.0,1210.0,302.5,4537.5
,,100,60.5,0.0,0.0,0.0,0.0
,,100,60.5,0.0,0.0,0.0,0.0
12,jjdjdjd,120,350.4,42048.0,8409.6,2102.4,31536.0
,,100,60.5,0.0,0.0,0.0,0.0
,,100,60.5,0.0,0.0,0.0,0.0
,,100,60.5,0.0,0.0,0.0,0.0
,,100,60.5,0.0,0.0,0.0,0.0
,,100,60.5,0.0,0.0,0.0,0.0
,,100,60.5,0.0,0.0,0.0,0.0
,,100,60.5,0.0,0.0,0.0,0.0
,,100,60.5,0.0,0.0,0.0,0.0
,,100,60.5,0.0,0.0,0.0,0.0
,,100,60.5,0.0,0.0,0.0,0.0
12,roll,100,60.5,6050.0,1210.0,302.5,4537.5
13,Borre,100,60.5,6050.0,1210.0,302.5,4537.5
12,Diego garcia,100,60.5,6050.0,1210.0,302.5,4537.5
2,fs,100,60.5,6050.0,1210.0,302.5,4537.5
34,papaloy,200,60.5,12100.0,2420.0,605.0,9075.0
12,papa,100,60.5,6050.0,1210.0,302.5,4537.5
12,jasso,100,60.5,0.0,0.0,0.0,0.0
12,jona,100,60.5,0.0,0.0,0.0,0.0
12,jj,100,60.5,0.0,0.0,0.0,0.0
13,jonathan,100,60.5,0.0,0.0,0.0,0.0
75,el peponchaas,100,60.5,6050.0,1210.0,302.5,4537.5
349,Oswaldo Martinez,150,220.6,33090.0,6618.0,1654.5,24817.5
45567,Raul Gonzalez,50,220.6,11030.0,2206.0,551.5,8272.5
